,product_name,prices,processor brand,processor name,ram,graphic card,operating system
335,"ASUS Zenbook 14 (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX425EA-KI501TS Thin and Light Laptop  (14 inch, Pine Grey, 1.17 kg, With MS Office)","₹72,990",Intel,Core i5,8 GB,Intel Integrated Iris Xe,Windows 10 Home
336,"ASUS ASUS TUF Dash F15 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) FX516PMZ-HN186WS Gaming Laptop  (15.6 inch, Moonlight White, 2 kg, With MS Office)","₹84,940",Intel,Core i5,16 GB,NVIDIA GeForce RTX 3060,Windows 11 Home
337,"HP Envy Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics) 15-ep0123TX Laptop  (15.6 inch, Natural Silver, 2.14 kg, With MS Office)","₹1,44,690",Intel,Core i7,16 GB,NVIDIA GeForce GTX 1660 Ti with Max-Q Design,Windows 10 Home
338,"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq4022TU Thin and Light Laptop  (15.6 Inch, Jet Black, 1.69 Kg, With MS Office)","₹55,999",Intel,Core i5,8 GB,Intel Integrated Iris Xe Graphics,Windows 11 Home
339,"HP Envy x360 Intel EVO Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 13-BD0063TU 2 in 1 Laptop  (13.3 inch, Pale Gold, 1.32 kg, With MS Office)","₹1,03,950",Intel,Core i7,16 GB,Intel Integrated Iris Xe,Windows 10 Home
340,"ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-A20303 Chromebook  (15.6 inch, Silver, 1.69 Kg)","₹25,999",Intel,Celeron Dual Core,4 GB,Intel Integrated HD 500,Chrome
341,"acer Intel EVO Swift 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) SF314-511 Thin and Light Laptop  (14 inch, Pure Silver, 1.2 kg, With MS Office)","₹60,990",Intel,Core i5,8 GB,Intel Integrated Iris Xe,Windows 11 Home
342,"APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP82HN/A  (13 inch, Silver, 1.4 kg)","₹1,79,990",Intel,Core i5,16 GB,Intel Integrated Iris Plus,Mac OS Catalina
343,"Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15 ITL 6 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.65 KG, With MS Office)","₹55,990",Intel,Core i5,8 GB,Intel Integrated Iris Xe,Windows 10 Home
344,"DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 Kg, With MS Office)","₹1,01,940",Intel,Core i7,16 GB,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home
345,"Lenovo IdeaPad 5 Pro Ryzen 7 Hexa Core - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce NVIDIA GeForce GTX 1650 4GB GDDR6) 16ACH6 Gaming Laptop  (16 Inch, Storm Grey, 1.41 kg, With MS Office)","₹79,690",Intel,Ryzen 7 Hexa Core,16 GB,NVIDIA GeForce NVIDIA GeForce GTX 1650 4GB GDDR6,Windows 11 Home
